firstName,lastName,Position,Height,Weight,Class,Hometown,Highschool,collegeNameShort,collegeNameFull,mascot,hit_AVG,hit_GP,hit_GS,hit_AB,hit_R,hit_H,hit_2B,hit_3B,hit_HR,hit_RBI,hit_SLG%,hit_BB,hit_HBP,hit_SO,hit_GDP,hit_OB%,hit_SF,hit_SH,hit_SB,hit_PO,hit_A,hit_E,hit_FLD%,pitch_ERA,pitch_W,pitch_L,pitch_APP,pitch_GS,pitch_CG,pitch_SHO,pitch_SV,pitch_IP,pitch_H,pitch_R,pitch_ER,pitch_BB,pitch_SO,pitch_2B,pitch_3B,pitch_HR,pitch_BF,pitch_BAVG,pitch_WP,pitch_HBP,pitch_BK,pitch_SFA,pitch_SHA
Chaz,Montoya,Left-Handed Pitcher,6-0,160,Sophomore,Glendale  Ariz.,Centennial,ASU,Arizona State University,Sun Devil,.000,48,12,0,0,0,0,0,0,0,.000,0,0,0,0,.000,0,0,0,3,15,3,.857,4.99,5,11,45,9,0,0,6,92,114,63,51,48,84,19,5,2,439,.303,8,7,2,4,4
Alika,Williams,Infielder,6-2,165,Freshman,San Diego  Calif.,Rancho Bernardo,ASU,Arizona State University,Sun Devil,.280,55,54,186,23,52,8,1,0,20,.333,13,3,17,10,.333,2,5,5,86,145,9,.963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Drew,Swift,Infielder,6-0,150,Freshman,Chandler  Ariz.,Hamilton,ASU,Arizona State University,Sun Devil,.201,55,54,154,27,31,2,0,0,15,.214,24,4,46,2,.321,2,12,3,59,158,12,.948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alec,Marsh,Right-Handed Pitcher,6-2,220,Sophomore,Milwaukee  Wis.,Ronald Reagan,ASU,Arizona State University,Sun Devil,.000,26,13,0,0,0,0,0,0,0,.000,0,0,0,0,.000,0,0,0,13,15,1,.966,4.86,3,3,26,13,0,0,0,92.2,94,53,50,42,77,15,3,7,415,.267,8,14,0,1,5
Sam,Ferri,Catcher,5-11,185,Sophomore,Norridge  Ill.,Notre Dame College Prep,ASU,Arizona State University,Sun Devil,.182,18,9,33,4,6,2,0,0,5,.242,3,0,10,0,.250,0,0,0,70,11,2,.976,0.00,0,0,2,0,0,0,1,1,2,0,0,1,0,0,0,0,5,.500,1,0,0,0,0
Jeremy,McCuin,Infield,6-1,182,Junior,Gilbert  Ariz.,Perry,ASU,Arizona State University,Sun Devil,.216,90,78,259,32,56,10,1,3,28,.297,13,3,67,8,.257,5,11,2,112,178,16,.948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Connor,Higgins,Left-Handed Pitcher,6-5,240,Junior,Orefield  Pa.,Parkland,ASU,Arizona State University,Sun Devil,.000,58,4,0,0,0,0,0,0,0,.000,0,0,0,0,.000,0,0,0,2,14,3,.842,4.94,5,4,55,1,0,0,4,78.1,98,49,43,34,64,16,2,3,371,.305,8,7,1,4,5
Gage,Canning,Outfield,5-11,178,Junior,Ramona  Calif.,Ramona,ASU,Arizona State University,Sun Devil,.326,167,165,656,112,214,35,25,18,100,.538,49,5,161,2,.374,6,7,27,399,15,2,.995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gage,Workman,Infielder,6-4,175,Freshman,Queen Creek  Ariz.,Basha,ASU,Arizona State University,Sun Devil,.276,50,48,174,27,48,10,7,3,25,.466,13,4,49,0,.339,1,3,3,31,69,9,.917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eli,Lingos,Left-Handed Pitcher,6-0,192,Senior,Temecula  Calif.,Great Oak,ASU,Arizona State University,Sun Devil,.000,70,46,0,0,0,0,0,0,0,.000,0,0,0,0,.000,0,0,0,8,55,9,.875,4.21,17,18,66,42,1,1,1,263,297,154,123,86,206,52,8,19,1172,.288,15,19,3,10,23
