firstName,lastName,Position,Height,Weight,Class,Hometown,Last School(s),collegeNameShort,collegeNameFull,mascot,hit_AVG,hit_GP,hit_GS,hit_AB,hit_R,hit_H,hit_2B,hit_3B,hit_HR,hit_RBI,hit_SLG%,hit_BB,hit_HBP,hit_SO,hit_GDP,hit_OB%,hit_SF,hit_SH,hit_SB,hit_PO,hit_A,hit_E,hit_FLD%,pitch_ERA,pitch_W,pitch_L,pitch_APP,pitch_GS,pitch_CG,pitch_SHO,pitch_SV,pitch_IP,pitch_H,pitch_R,pitch_ER,pitch_BB,pitch_SO,pitch_2B,pitch_3B,pitch_HR,pitch_BF,pitch_BAVG,pitch_WP,pitch_HBP,pitch_BK,pitch_SFA,pitch_SHA
Sam,Wezniak,Infield,5-11,170,Freshman,Carlsbad  Calif.,Sage Creek HS,CAL,University of California Berkely,Bear,.240,46,42,154,29,37,7,0,6,26,.403,21,4,42,1,.343,2,4,2,36,94,13,.909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Darren,Baker,Infield,5-11,153,Freshman,Granite Bay  Calif.,Jesuit HS,CAL,University of California Berkely,Bear,.273,44,42,172,29,47,6,0,1,23,.326,7,1,18,3,.302,2,4,5,66,106,3,.983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Max,Flower,Outfield,6-4,220,Sophomore,Lafayette  Calif.,Campolindo HS,CAL,University of California Berkely,Bear,.272,94,74,272,37,74,12,3,2,45,.360,25,2,67,3,.332,5,6,7,156,7,3,.982,0.00,0,0,3,0,0,0,0,2,2,0,0,0,1,0,0,0,9,.250,1,1,0,0,0
Ripken,Reyes,Infield,5-9,182,Junior,Stockton  Calif.,Saint Mary's HS,CAL,University of California Berkely,Bear,.234,88,58,205,31,48,8,1,2,20,.312,34,10,35,3,.368,1,8,2,85,186,7,.975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyrus,Greene,Catcher,5-11,185,Junior,San Diego  Calif.,St. Augustine HS,CAL,University of California Berkely,Bear,.322,112,92,369,71,119,16,0,4,31,.398,45,10,58,3,.409,1,4,12,563,62,6,.990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sam,Cachola,Outfield,5-10,196,Freshman,Irvine  Calif.,Northwood HS,CAL,University of California Berkely,Bear,.400,7,1,5,3,2,1,0,0,1,.600,3,0,1,0,.625,0,0,0,3,0,0,1.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cameron,Eden,Infield,6-1,181,Sophomore,Yuba City  Calif.,Yuba City,CAL,University of California Berkely,Bear,.283,98,93,332,53,94,15,1,6,45,.389,25,3,78,2,.335,4,7,12,137,207,23,.937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tanner,Dodson,Pitcher/Oufield,6-1,173,Junior,West Sacramento  Calif.,Jesuit HS,CAL,University of California Berkely,Bear,.309,128,116,414,69,128,26,3,4,53,.415,34,9,66,2,.372,3,2,16,195,33,2,.991,3.81,8,12,57,16,0,0,16,153.2,180,91,65,63,112,30,0,6,695,.295,19,8,2,7,7
Jonah,Davis,Outfield,5-10,206,Junior,La Jolla  Calif.,Francis W. Parker HS,CAL,University of California Berkely,Bear,.300,115,98,357,70,107,20,3,16,84,.507,51,22,123,2,.415,4,6,16,185,3,4,.979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jeffrey,Mitchell  Jr.,Outfield,5-11,185,Junior,Pleasant Hill  Calif.,College Park HS,CAL,University of California Berkely,Bear,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joey,Matulovich,Pitcher,6-3,207,Junior,Danville  Calif.,San Ramon Valley HS,CAL,University of California Berkely,Bear,.000,57,19,0,0,0,0,0,0,0,.000,0,0,0,0,.000,0,0,0,5,19,2,.923,3.79,6,5,57,19,1,0,0,163.2,150,80,69,63,121,32,3,14,700,.250,12,15,0,14,9
Zach,Espinosa,Pitcher,6-1,203,Freshman,Irvine  Calif.,Beckman HS,CAL,University of California Berkely,Bear,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matt,Ruff,Catcher/UTIL,5-10,206,Senior,Yorba Linda  Calif.,Valencia HS,CAL,University of California Berkely,Bear,.243,77,34,136,14,33,9,0,0,19,.309,20,3,27,5,.348,2,2,1,47,2,1,.980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Conner,Bock,Infield,6-1,210,Sophomore,Newport Coast  Calif.,Sage Hill HS,CAL,University of California Berkely,Bear,.200,18,0,15,0,3,0,0,0,3,.200,2,0,7,0,.278,1,0,0,4,0,1,.800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andrew,Vaughn,Infield/Pitcher,6-0,214,Sophomore,Santa Rosa  Calif.,Maria Carrillo HS,CAL,University of California Berkely,Bear,.374,108,108,417,95,156,21,1,35,113,.681,63,18,42,5,.474,2,0,5,935,67,6,.994,6.75,1,0,11,0,0,0,0,9.1,10,7,7,6,4,1,0,2,42,.294,0,0,0,0,2
Jared,Horn,Pitcher,6-3,225,Sophomore,Napa  Calif.,Vintage HS,CAL,University of California Berkely,Bear,.000,31,30,0,0,0,0,0,0,0,.000,0,0,0,0,.000,0,0,0,5,23,8,.778,5.36,8,10,31,30,0,0,0,149.1,162,116,89,90,107,23,1,11,705,.281,26,16,6,7,15
