firstName,lastName,Position,Height,Weight,Class,Hometown,Highschool,collegeNameShort,collegeNameFull,mascot,hit_AVG,hit_GP,hit_GS,hit_AB,hit_R,hit_H,hit_2B,hit_3B,hit_HR,hit_RBI,hit_SLG%,hit_BB,hit_HBP,hit_SO,hit_GDP,hit_OB%,hit_SF,hit_SH,hit_SB,hit_PO,hit_A,hit_E,hit_FLD%,pitch_ERA,pitch_W,pitch_L,pitch_APP,pitch_GS,pitch_CG,pitch_SHO,pitch_SV,pitch_IP,pitch_H,pitch_R,pitch_ER,pitch_BB,pitch_SO,pitch_2B,pitch_3B,pitch_HR,pitch_BF,pitch_BAVG,pitch_WP,pitch_HBP,pitch_BK,pitch_SFA,pitch_SHA
Kyler,McMahan,Infielder,5-10,165,Freshman,Seattle  Wash.,Lynnwood,OSU,Oregon State University,Beaver,.000,12,2,7,3,0,0,0,0,0,.000,1,0,2,0,.125,0,1,0,4,5,0,1.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cadyn,Grenier,Infield,5-11,188,Junior,Henderson  Nev.,Bishop Gorman,OSU,Oregon State University,Beaver,.284,182,179,640,136,182,28,11,11,102,.414,91,20,138,4,.386,8,32,16,227,436,25,.964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nick,Madrigal,Infield,5-8,165,Junior,Elk Grove  Calif.,Elk Grove,OSU,Oregon State University,Beaver,.361,151,148,612,132,221,40,11,8,103,.502,58,11,37,15,.422,7,19,39,208,404,12,.981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Steven,Kwan,Outfield,5-9,170,Junior,Fremont  Calif.,Washington,OSU,Oregon State University,Beaver,.328,156,120,481,96,158,16,9,3,66,.418,82,7,38,7,.431,3,24,22,297,10,7,.978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joe,Casey,Outfield,6-0,175,Redshirt Freshman,Corvallis  Ore.,Crescent Valley,OSU,Oregon State University,Beaver,.500,18,2,14,5,7,2,0,0,2,.643,4,0,3,0,.611,0,0,0,1,0,0,1.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyler,Malone,Infield,5-11,180,Sophomore,Roseville  Calif.,Woodcreek,OSU,Oregon State University,Beaver,.273,81,52,194,36,53,7,0,8,37,.433,46,2,50,4,.414,2,0,3,47,4,0,1.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andy,Armstrong,Infield,5-9,175,Sophomore,Salem  Ore.,West Salem,OSU,Oregon State University,Beaver,.266,65,41,143,24,38,14,1,2,24,.420,13,6,22,4,.352,0,14,2,62,83,3,.980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Michael,Gretler,Infield,6-2,185,Senior,Bonney Lake  Wash.,Bonney Lake,OSU,Oregon State University,Beaver,.285,202,178,642,91,183,38,5,13,100,.421,60,16,109,17,.356,9,19,6,279,252,23,.958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trevor,Larnach,Outfield,6-4,210,Junior,Pleasant Hill  Calif.,College Park,OSU,Oregon State University,Beaver,.311,156,138,505,106,157,36,1,22,128,.517,96,13,134,24,.428,7,1,6,184,2,2,.989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sam,Tweedt,Right Handed Pitcher,6-3,215,Redshirt Junior,Salem  Ore.,South Salem,OSU,Oregon State University,Beaver,.000,45,14,0,0,0,0,0,0,0,.000,0,0,0,0,.000,0,0,0,5,11,5,.762,3.43,12,1,45,14,0,0,0,99.2,84,44,38,36,72,20,2,8,416,.231,5,7,0,3,7
Elliot,Willy,Outfield,6-1,190,Redshirt Freshman,Bend  Ore.,Bend,OSU,Oregon State University,Beaver,.333,3,0,3,0,1,1,0,0,1,.667,0,0,2,0,.333,0,0,0,1,0,0,1.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luke,Heimlich,Left Handed Pitcher,6-1,197,Senior,Puyallup  Wash.,Puyallup,OSU,Oregon State University,Beaver,.000,87,50,0,0,0,0,0,0,0,.000,0,0,0,0,.000,0,0,0,17,68,6,.934,2.49,36,13,86,49,3,1,4,387,292,130,107,92,385,39,9,9,1564,.211,23,38,3,10,39
Zak,Taylor,Catcher/Infield,6-2,205,Junior,Sherwood  Ore.,Sherwood,OSU,Oregon State University,Beaver,.259,101,65,228,38,59,9,1,2,31,.333,13,9,57,5,.321,2,14,0,468,33,4,.992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Troy,Claunch,Catcher,5-11,190,Freshman,Vacaville  Calif.,Vacaville,OSU,Oregon State University,Beaver,.321,23,10,28,9,9,1,0,2,10,.571,12,0,6,0,.512,1,2,0,76,10,0,1.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
