firstName,lastName,Position,Height,Weight,Class,Hometown,High School,collegeNameShort,collegeNameFull,mascot,hit_AVG,hit_GP,hit_GS,hit_AB,hit_R,hit_H,hit_2B,hit_3B,hit_HR,hit_RBI,hit_SLG%,hit_BB,hit_HBP,hit_SO,hit_GDP,hit_OB%,hit_SF,hit_SH,hit_SB,hit_PO,hit_A,hit_E,hit_FLD%,pitch_ERA,pitch_W,pitch_L,pitch_APP,pitch_GS,pitch_CG,pitch_SHO,pitch_SV,pitch_IP,pitch_H,pitch_R,pitch_ER,pitch_BB,pitch_SO,pitch_2B,pitch_3B,pitch_HR,pitch_BF,pitch_BAVG,pitch_WP,pitch_HBP,pitch_BK,pitch_SFA,pitch_SHA
Kyle,Kasser,Infielder,5-10,180,Senior,Brea  Calif.,Brea Olinda HS,UFO,University of Oregon,Duck,.299,185,150,596,99,178,24,1,1,64,.347,79,19,58,11,.395,4,21,23,554,284,12,.986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Braden,Stutzman,Catcher/Outfielder,5-10,185,Redshirt Sophomore,Twin Falls  Idaho,Twin Falls HS,UFO,University of Oregon,Duck,.167,49,21,66,15,11,3,0,0,8,.212,18,3,19,2,.364,1,6,0,132,13,1,.993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brett,Walker,Right-Handed Pitcher,6-4,185,Freshman,Fresno  Calif.,Clovis North HS,UFO,University of Oregon,Duck,.000,5,2,0,0,0,0,0,0,0,.000,0,0,0,0,.000,0,0,0,0,0,0,.000,9.82,0,1,5,2,0,0,0,3.2,8,4,4,2,1,2,0,1,21,.444,1,1,0,0,0
Cameron,Campbell,Catcher,5-9,200,Junior,Ellensburg  Wash.,Ellensburg HS,UFO,University of Oregon,Duck,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jonny,DeLuca,Outfielder,5-11,180,Freshman,Agoura Hills  Calif.,Agoura HS,UFO,University of Oregon,Duck,.212,55,54,203,24,43,5,0,6,32,.325,18,1,28,0,.270,8,7,6,141,2,2,.986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daniel,Patzlaff,Infielder,5-10,165,Senior,Huntington Beach  Calif.,Fountain Valley HS,UFO,University of Oregon,Duck,.211,186,141,475,59,100,10,1,4,62,.261,74,13,100,7,.330,5,13,10,143,290,27,.941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spencer,Steer,Infielder,5-11,185,Sophomore,Long Beach  Calif.,Millikan HS,UFO,University of Oregon,Duck,.268,107,107,380,53,102,23,4,6,72,.397,42,25,55,7,.369,11,5,8,80,176,20,.928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ray,Soderman,Catcher,6-1,200,Junior,Danville  Calif.,San Ramon Valley HS,UFO,University of Oregon,Duck,.225,49,48,160,12,36,6,0,1,17,.281,4,4,45,4,.260,1,1,1,367,30,6,.985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matt,Mercer,RHP,6-1,185,Junior,Lacey  Wash.,Timberline HS,UFO,University of Oregon,Duck,.000,48,37,0,0,0,0,0,0,0,.000,0,0,0,0,.000,0,0,0,11,28,7,.848,3.77,13,16,46,35,1,0,0,217,206,107,91,84,176,40,2,14,927,.256,13,13,2,7,17
Gabe,Matthews,Infielder,6-1,215,Sophomore,Salem  Ore.,South Salem HS,UFO,University of Oregon,Duck,.273,106,103,373,44,102,20,2,7,53,.394,52,16,99,9,.381,5,0,4,637,38,5,.993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nico,Tellache,LHP,5-11,200,Sophomore,Canby  Ore.,Canby HS,UFO,University of Oregon,Duck,.000,30,0,0,0,0,0,0,0,0,.000,0,0,0,0,.000,0,0,0,0,6,0,1.000,6.55,0,0,30,0,0,0,0,22,22,17,16,20,16,2,1,4,103,.275,2,1,0,2,0
Cole,Stringer,LHP,5-11,170,Junior,Portland  Ore.,Central Catholic HS,UFO,University of Oregon,Duck,.000,34,17,0,0,0,0,0,0,0,.000,0,0,0,0,.000,0,0,0,6,18,1,.960,4.10,6,7,34,17,0,0,0,105.1,109,50,48,26,67,23,1,9,443,.277,6,10,1,6,8
Jacob,Bennett,RHP,6-5,215,Redshirt Sophomore,Tualatin  Ore.,Tualatin HS,UFO,University of Oregon,Duck,.000,7,0,0,0,0,0,0,0,0,.000,0,0,0,0,.000,0,0,0,0,3,0,1.000,3.86,2,0,7,0,0,0,0,7,7,4,3,1,5,1,0,2,29,.269,0,1,2,0,1
Isaiah,Stolp,RHP,6-0,180,Redshirt Junior,Eugene  Ore.,Marist HS,UFO,University of Oregon,Duck,.000,1,0,0,0,0,0,0,0,0,.000,0,0,0,0,.000,0,0,0,0,0,0,.000,0.00,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,4,.000,0,0,0,0,0
Zack,Noll,LHP,6-5,200,Sophomore,Temecula  Calif.,Great Oak HS,UFO,University of Oregon,Duck,.000,15,4,0,0,0,0,0,0,0,.000,0,0,0,0,.000,0,0,0,0,4,0,1.000,5.74,2,3,15,4,0,0,0,26.2,22,19,17,20,34,3,0,2,118,.229,3,1,2,0,1
Parker,Kelly,RHP/Infielder,6-0,200,Junior,Portland  Ore.,Westview HS,UFO,University of Oregon,Duck,.000,56,0,0,0,0,0,0,0,0,.000,0,0,0,0,.000,0,0,0,5,14,1,.950,3.81,5,0,55,0,0,0,3,80.1,71,38,34,30,87,14,1,3,355,.236,11,16,2,2,6
Kenyon,Yovan,RHP/Infielder,6-1,215,Sophomore,Beaverton  Ore.,Westview HS,UFO,University of Oregon,Duck,.208,86,50,154,16,32,7,0,3,17,.312,19,5,52,2,.311,2,1,0,28,11,1,.975,2.70,7,5,43,10,1,0,20,116.2,87,37,35,43,134,15,5,4,485,.207,3,14,1,2,5
Kolby,Somers,LHP/First Base,6-1,210,Freshman,Hillsboro  Ore.,Century HS,UFO,University of Oregon,Duck,.000,16,11,0,0,0,0,0,0,0,.000,0,0,0,0,.000,0,0,0,3,11,0,1.000,4.62,2,7,16,11,0,0,0,62.1,71,39,32,13,46,9,3,5,270,.293,4,5,1,4,6
Jakob,Goldfarb,Catcher/Outfielder,6-3,200,Redshirt Junior,Scottsdale  Ariz.,Desert Mountain HS,UFO,University of Oregon,Duck,.274,147,116,449,69,123,22,4,9,54,.401,54,16,117,3,.367,7,8,18,215,14,6,.974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
