firstName,lastName,Position,Height,Weight,Class,Hometown,High School,collegeNameShort,collegeNameFull,mascot,hit_AVG,hit_GP,hit_GS,hit_AB,hit_R,hit_H,hit_2B,hit_3B,hit_HR,hit_RBI,hit_SLG%,hit_BB,hit_HBP,hit_SO,hit_GDP,hit_OB%,hit_SF,hit_SH,hit_SB,hit_PO,hit_A,hit_E,hit_FLD%,pitch_ERA,pitch_W,pitch_L,pitch_APP,pitch_GS,pitch_CG,pitch_SHO,pitch_SV,pitch_IP,pitch_H,pitch_R,pitch_ER,pitch_BB,pitch_SO,pitch_2B,pitch_3B,pitch_HR,pitch_BF,pitch_BAVG,pitch_WP,pitch_HBP,pitch_BK,pitch_SFA,pitch_SHA
Kobe,Kato,Infield ,6-1,166,Freshman,Aiea  Hawaii,Aiea HS,UOA,University of Arizona,Wild Cat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Donta,Williams,Outfield,5-10,169,Freshman,Las Vegas  Nev.,Legacy HS,UOA,University of Arizona,Wild Cat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gil,Luna,Left-Handed Pitcher,5-11,170,Freshman,Casa Grande  Ariz.,Casa Grande Union HS,UOA,University of Arizona,Wild Cat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Travis,Moniot,Infield,6-1,183,Junior,Palm Desert  Calif.,Palm Desert HS,UOA,University of Arizona,Wild Cat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ryan,Haug,Catcher,6-1,176,Senior,Rohnert Park  Calif.,Rancho Cotate,UOA,University of Arizona,Wild Cat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cal,Stevenson,Outfield,5-9,170,Senior,Fremont  Calif.,John F. Kennedy HS,UOA,University of Arizona,Wild Cat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jacob,Blas,Infield,6-1,177,Freshman,Carlsbad  Calif.,San Marcos HS,UOA,University of Arizona,Wild Cat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cesar,Salazar,Catcher,5-9,188,Junior,Hermosillo  Mexico,Sahuaro HS,UOA,University of Arizona,Wild Cat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nick,Quintana,Infield,5-10,187,Sophomore,Las Vegas  Nev.,Arbor View HS,UOA,University of Arizona,Wild Cat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jonathan ,Guardado,Right-handed Pitcher,6-3,205,Freshman,La Puente  Calif.,Nogales HS,UOA,University of Arizona,Wild Cat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cody,Deason,Right Handed Pitcher,6-3,206,Junior,Ojai  Calif.,Nordhoff HS,UOA,University of Arizona,Wild Cat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mitchell,Morimoto,Outfield,5-11,197,Senior,Issaquah  Wash.,Issaquah HS,UOA,University of Arizona,Wild Cat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Randy,Labaut,Left-Handed Pitcher,6-1,194,Sophomore,Downey  Calif.,Downey HS,UOA,University of Arizona,Wild Cat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ryan ,Gowens,Right-Handed Pitcher,6-4,209,Senior,Phoenix  Ariz.,Deer Valley HS,UOA,University of Arizona,Wild Cat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zach,Sherman,Right-Handed Pitcher/ Outfield,6-1,179,Freshman,Ramona  Calif.,Ramona HS,UOA,University of Arizona,Wild Cat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Roman,Phansalkar,Right-handed Pitcher,6-2,176,Freshman,Edmond  Okla.,Heritage Hall HS,UOA,University of Arizona,Wild Cat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seve,Romo,Right-Handed Pitcher,6-0,199,Senior,Fullerton  Calif.,Servite HS,UOA,University of Arizona,Wild Cat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matt,Fraizer,Outfield,6-3,205,Sophomore,Fresno  Calif.,Clovis North HS,UOA,University of Arizona,Wild Cat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Robby,Medel,Right-Handed Pitcher,6-3,200,Senior,Grand Prairie  Texas,Arlington Bowie HS,UOA,University of Arizona,Wild Cat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matthew,Dyer,Utility,6-4,174,Sophomore,Glendale  Ariz.,Mountain Ridge HS,UOA,University of Arizona,Wild Cat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alfonso,Rivas III,Outfield,5-11,191,Junior,San Diego  Calif.,La Jolla Country Day,UOA,University of Arizona,Wild Cat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Michael,Flynn,Right-Handed Pitcher,6-3,210,Junior,Los Alamitos  Calif.,Servite HS,UOA,University of Arizona,Wild Cat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Avery,Weems,Left-Handed Pitcher,6-2,205,Junior,Flagstaff  Ariz.,Coconino HS,UOA,University of Arizona,Wild Cat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blake,Paugh,Outfield,6-1,205,Freshman,Scottsdale  Ariz.,Chaparral HS,UOA,University of Arizona,Wild Cat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jake,Meyer,Catcher,6-1,188,Freshman,Scottsdale  Ariz.,Desert Mountain HS,UOA,University of Arizona,Wild Cat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Preston,Price,Right-Handed Pitcher,6-1,207,Sophomore,Vista  Calif.,Cathedral Catholic HS,UOA,University of Arizona,Wild Cat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cameron,Haskell,Right-Handed Pitcher/Infield ,6-4,194,Junior,Temecula  Calif.,Chaparral HS,UOA,University of Arizona,Wild Cat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austin,Nichols,Right-Handed Pitcher,6-0,177,Redshirt Freshman,Queen Creek  Ariz.,Queen Creek HS,UOA,University of Arizona,Wild Cat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Juan,Aguilera,Right-Handed Pitcher,6-1,183,Senior,Sierra Vista  Ariz.,Buena HS,UOA,University of Arizona,Wild Cat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cameron,Cannon,Infield,5-10,196,Sophomore,Glendale  Ariz.,Mountain Ridge HS,UOA,University of Arizona,Wild Cat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tylor,Megill,Right-Handed Pitcher,6-6,230,Senior,Seal Beach  Calif.,Los Alamitos,UOA,University of Arizona,Wild Cat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Michael,Benson,Catcher/First Base,6-1,209,Sophomore,Vista  Calif.,Rancho Buena Vista HS,UOA,University of Arizona,Wild Cat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Quinn,Flanagan,Right-Handed Pitcher,6-4,201,Freshman,Chandler  Ariz.,Corona del Sol HS,UOA,University of Arizona,Wild Cat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jason,Seever,Left-Handed Pitcher,5-9,183,Senior,Hayward  Calif.,Castro Valley HS,UOA,University of Arizona,Wild Cat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tate,Soderstrom,Outfield/First Base,6-1,193,Freshman,Turlock  Calif.,Turlock HS,UOA,University of Arizona,Wild Cat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zach,Stone,Right-Handed Pitcher,6-1,228,Senior,Eureka  Calif.,Eureka HS,UOA,University of Arizona,Wild Cat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Josh,Haley,Left-Handed Pitcher,6-0,233,Freshman,Lakewood  Calif.,Gahr HS,UOA,University of Arizona,Wild Cat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
